crate	version	scope	declared_license	review_route	archive_sha256	archive_url	notice_files
encoding_rs	0.8.35	transitive	(Apache-2.0 OR MIT) AND BSD-3-Clause	MIT AND BSD-3-Clause	75030f3c4f45dafd7586dd6780965a8c7e8e285a5ecb86713e63a79c5b2766f3	https://crates.io/api/v1/crates/encoding_rs/0.8.35/download	COPYRIGHT; LICENSE-APACHE; LICENSE-MIT; LICENSE-WHATWG
equivalent	1.0.2	transitive	Apache-2.0 OR MIT	MIT	877a4ace8713b0bcf2a4e7eec82529c029f1d0619886d18145fea96c3ffe5c0f	https://crates.io/api/v1/crates/equivalent/1.0.2/download	LICENSE-APACHE; LICENSE-MIT
errno	0.3.14	transitive	MIT OR Apache-2.0	MIT	39cab71617ae0d63f51a36d69f866391735b51691dbda63cf6f96d042b63efeb	https://crates.io/api/v1/crates/errno/0.3.14/download	LICENSE-APACHE; LICENSE-MIT
etcetera	0.8.0	transitive	MIT OR Apache-2.0	MIT	136d1b5283a1ab77bd9257427ffd09d8667ced0570b6f938942bc7568ed5b943	https://crates.io/api/v1/crates/etcetera/0.8.0/download	LICENSE-APACHE; LICENSE-MIT
event-listener	5.4.2	transitive	Apache-2.0 OR MIT	MIT	5a23add41df1562121a9393cb065eab5146a1242410f23a644851e90cfd669d2	https://crates.io/api/v1/crates/event-listener/5.4.2/download	LICENSE-APACHE; LICENSE-MIT
fastrand	2.4.1	transitive	Apache-2.0 OR MIT	MIT	9f1f227452a390804cdb637b74a86990f2a7d7ba4b7d5693aac9b4dd6defd8d6	https://crates.io/api/v1/crates/fastrand/2.4.1/download	LICENSE-APACHE; LICENSE-MIT
find-msvc-tools	0.1.9	transitive	MIT OR Apache-2.0	MIT	5baebc0774151f905a1a2cc41989300b1e6fbb29aff0ceffa1064fdd3088d582	https://crates.io/api/v1/crates/find-msvc-tools/0.1.9/download	LICENSE-APACHE; LICENSE-MIT
flate2	1.1.9	transitive	MIT OR Apache-2.0	MIT	843fba2746e448b37e26a819579957415c8cef339bf08564fe8b7ddbd959573c	https://crates.io/api/v1/crates/flate2/1.1.9/download	LICENSE-APACHE; LICENSE-MIT
flume	0.11.1	transitive	Apache-2.0/MIT	MIT	da0e4dd2a88388a1f4ccc7c9ce104604dab68d9f408dc34cd45823d5a9069095	https://crates.io/api/v1/crates/flume/0.11.1/download	LICENSE-APACHE; LICENSE-MIT
flume	0.12.0	transitive	Apache-2.0/MIT	MIT	5e139bc46ca777eb5efaf62df0ab8cc5fd400866427e56c68b22e414e53bd3be	https://crates.io/api/v1/crates/flume/0.12.0/download	LICENSE-APACHE; LICENSE-MIT
foldhash	0.1.5	transitive	Zlib	Zlib	d9c4f5dac5e15c24eb999c26181a6ca40b39fe946cbe4c263c7209467bc83af2	https://crates.io/api/v1/crates/foldhash/0.1.5/download	LICENSE
form_urlencoded	1.2.2	transitive	MIT OR Apache-2.0	MIT	cb4cb245038516f5f85277875cdaa4f7d2c9a0fa0468de06ed190163b1581fcf	https://crates.io/api/v1/crates/form_urlencoded/1.2.2/download	LICENSE-APACHE; LICENSE-MIT
fs2	0.4.3	normal	MIT/Apache-2.0	MIT	9564fc758e15025b46aa6643b1b77d047d1a56a1aea6e01002ac0c7026876213	https://crates.io/api/v1/crates/fs2/0.4.3/download	LICENSE-APACHE; LICENSE-MIT
